formula,pearson,space,volume,density,band_gap,efermi,formation_energy_per_atom
Ag2CrO4,orthorhombic,62.0,391.4,5.629,1.3899,0.9305608400000001,-1.109907690833332
Ag2O,cubic,224.0,105.6,7.29,0.0,0.82633673,-0.31563385777777403
Ag3PO4,cubic,218.0,217.4,6.394,0.17849999999999902,2.1094709,-1.406864123705355
AgBr,cubic,225.0,192.6,6.474,0.730399999999999,1.55338318,-0.6596210383333321
AgCl,cubic,225.0,170.9,5.556,0.9522,1.49474467,-0.568439933749999
AgI,hexagonal,186.0,137.1,5.69,1.3759000000000001,1.27372464,-0.46775989833333204
Au,cubic,225.0,67.8,19.3,0.0,5.84744474,0.0
BiOI,tetragonal,129.0,120.6,9.687,1.472999999999999,4.12884893,-1.334933545
BiVO4,Tetragonal,88.0,311.2,1.728,2.2615,3.39345985,-2.154109184999999
Ce(ZrO4),cubic,198.0,1166.6,6.726,1.7484000000000002,4.67646496,-3.8077108079166653
Ce2(CO3)2O,orthorhombic,62.0,315.3,3.098,,,
CeO2,cubic,225.0,158.5,7.215,1.8647,5.05743538,-3.9271761966666663
CeVO4,tetragonal,141.0,355.6,4.763,0.0,4.71494997,-3.147866788333333
Co(OH)2,hexagonal,164.0,40.8,3.781,2.3646000000000003,1.35678875,-1.2400252725
Co2V2O7,monoclinic,14.0,517.2,4.261,1.8533,1.736854189999999,-1.992428717045453
Co3O4,cubic,227.0,528.3,6.054,0.0,4.04879594,-1.279858292857144
Co9S8,cubic,225.0,972.4,5.375,0.0,6.30144784,-0.439116766029411
CoFe2O4,cubic,227.0,591.0,5.304,1.5511,2.90527891,-1.5725015085714271
CoMnO3,trigonal,148.0,288.9,5.582,0.0,3.22592316,-1.6499188855862061
CoMoO4,monoclinic,13.0,128.9,5.637,0.0,4.23185758,-1.5971998666666671
CoO,cubic,225.0,77.4,6.432,0.0,4.72101042,-1.23491615
CoOOH,trigonal,166.0,92.9,4.92,0.0,3.28388107,-1.3021709928125
CoSe2,cubic,205.0,201.1,7.087,0.0,6.21028558,-0.334087931874999
Cr2O3,trigonal,167.0,289.5,5.231,0.0,4.6986161200000005,-2.366587769
Cu2O,cubic,224.0,77.8,6.1,0.512699999999999,4.17791244,-0.6445054383333331
Cu2S,cubic,221.0,172.3,6.137,0.34750000000000003,6.14983115,-0.19943631746527501
Cu2WS4,tetragonal,121.0,298.4,4.887,1.5621,2.57165351,-0.536397687321427
Cu3V2O8,monoclinic,14.0,296.4,4.71,0.05279999999999901,2.29015007,-1.6499443784615382
CuFe2O4,cubic,227.0,586.4,5.419,0.0,3.48319122,-1.407231362142857
CuI,cubic,216.0,221.9,5.68,1.176299999999999,4.78666537,-0.33633597749999905
CuMn2O4,cubic,227.0,583.7,0.675,0.0,4.23224712,-1.665176083694581
CuMnO2,monoclinic,12.0,92.2,5.418,0.17869999999999903,3.72212939,-1.539728060732759
CuO,monoclinic,15.0,81.2,6.505,0.0,4.72796063,-0.9425302874999991
CuPt,cubic,225.0,54.7,15.703,0.0,6.5617724,-0.18247179999999802
CuSe,hexagonal,194.0,231.9,6.121,0.0,4.06416681,-0.18448107953125
FeLaO3,orthorhombic,62.0,242.8,6.64,1.433399999999999,5.39078712,-2.825153782000001
FeMoO4,monoclinic,12.0,613.8,4.668,2.037,0.95796802,-1.875182581666667
FeO(OH),orthorhombic,62.0,138.6,4.0,0.0,1.42694183,-1.549119508437499
FeP,orthorhombic,62.0,93.2,6.188,0.0,9.16314288,-0.597337447321427
FeS2,cubic,205.0,159.9,5.02,0.45719999999999905,7.88974147,-0.8374183041666641
IrO2,tetragonal,136.0,63.8,11.666,0.0,5.64300938,-1.260892841666664
LaCoO3,trigonal,166.0,335.6,7.299,0.9497000000000001,5.95606719,-2.599926138
LaMnO3.15,trigonal,167.0,352.1,6.912,,,
MgFe2O4,cubic,227.0,587.6,4.521,0.0,3.1273603,-2.165017080714286
Mn2O3,cubic,206.0,833.0,4.95,0.0,3.58985118,-2.007136498922413
Mn3O4,tetragonal,141.0,311.5,4.84,0.8134999999999991,3.2345749,-2.050409240541872
MnB2,hexagonal,191.0,23.8,5.339,0.0,8.31025251,-0.307147019827586
MnCo2O4,cubic,227.0,565.4,5.564,0.0,3.26378223,-1.4581127304187191
MnCo2O4.5,cubic,,527.5,6.16,,,
MnFe2O4,cubic,227.0,616.5,4.968,0.9977,4.18816085,-1.836117058275863
MnO2,tetragonal,87.0,271.1,4.5,1.1467,0.85480126,-1.80582994014368
MnOOH,tetragonal,62.0,687.8,3.8,0.0,3.01494129,-1.734264161670258
MnS,hexagonal,186.0,88.6,3.26,0.0,3.14668744,-1.1258302186476281
MnSe,cubic,225.0,163.0,5.458,0.0,4.96179142,-0.9278046767726291
MoO2,hexagonal,194.0,33.0,6.446,0.47879999999999906,4.48154052,-1.663972728333333
MoO3,hexagonal,14.0,1428.8,8.532,1.3714,0.42873088000000004,-1.9245719515625002
MoSe2,hexagonal,194.0,120.9,6.9,1.301,3.8297572,-0.749936842708334
Ni3V2O8,orthorhombic,64.0,553.8,4.868,0.0,3.28279245,-1.8717996761538451
NiCo2O4,cubic,227.0,534.2,5.982,0.0,4.78571211,-1.039772013571428
NiCo2S4,cubic,227.0,827.1,4.5,0.0,6.30251416,-0.745516640714294
NiCr2O4,cubic,227.0,571.6,5.268,0.0,4.86921887,-2.03065658642857
NiFe2O4,cubic,227.0,579.5,5.373,0.0,3.56904485,-1.5086928378571431
NiMn2O4,cubic,227.0,588.9,5.246,0.0,3.58515685,-1.444434275837438
NiMnO3,trigonal,148.0,94.4,5.685,0.0,4.01646301,-1.6192723405862082
NiO,cubic,225.0,72.9,6.807,2.300899999999999,5.87177732,-1.218085299999999
NiSe2,cubic,205.0,215.0,6.7,0.0,6.29710288,-0.319800996041666
NiV2O6 ,triclinic,2.0,293.9,4.348,2.1245,1.80809144,-2.115222795000001
Os,hexagonal,194.0,28.0,22.48,0.0,8.56779019,0.0
Pd,cubic,225.0,58.9,12.004,0.0,4.47959619,0.0
Pr6O11,cubic,225.0,163.5,6.952,0.0,1.23888073,-3.236619709558822
PtO2,hexagonal,164.0,34.5,10.944,1.6099,2.47480799,-0.8708263916666651
RuO2,tetragonal,136.0,62.9,7.026,0.0,4.57067993,-1.457661898333333
TiB2,hexagonal,191.0,25.7,4.495,0.0,8.46049915,-1.099568030555556
V2O5,orthorhombic,59.0,179.6,3.32,2.161,-0.53606004,-2.2890218171428582
V6O13,monoclinic,12.0,436.8,3.905,0.5218,2.44990074,-2.39171737868421
WSe2,hexagonal,194.0,121.4,9.35,1.4465,3.4107938,-0.603619506041667
Zn3(VO4)2,orthorhombic,64.0,584.7,4.839,2.7049000000000003,1.10688269,-2.081534421923078
Zn3V2O7(OH)2,hexagonal,164.0,228.1,3.494,,,
ZnCo2O4,cubic,227.0,530.4,6.192,0.0,2.29416953,-1.410660542857143
ZnO,hexagonal,186.0,47.6,5.675,0.7227,0.8923141,-1.7908991124999991
ZnS,hexagonal,186.0,79.1,4.09,2.0218,1.8951256600000002,-0.9625883041562501
